,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[3, 75]",-0.815,1.308,-3.23,1.07,0.023,0.016,3787.0,1024.0,1.0
"beta[3, 76]",-0.87,1.378,-3.433,0.731,0.022,0.017,4515.0,1631.0,1.0
"beta[3, 77]",-0.754,1.22,-3.004,0.912,0.019,0.015,4731.0,1709.0,1.0
"beta[3, 78]",-0.042,2.292,-3.962,4.353,0.024,0.024,11726.0,4918.0,1.0
"beta[3, 79]",-0.814,1.343,-3.263,0.81,0.023,0.016,4211.0,1566.0,1.0
"beta[3, 80]",-0.002,2.248,-3.74,4.344,0.023,0.023,11862.0,5129.0,1.0
"beta[3, 81]",-0.029,2.357,-4.251,4.393,0.022,0.025,14090.0,4788.0,1.0
"beta[3, 82]",-0.01,2.331,-4.255,4.052,0.023,0.023,12923.0,5200.0,1.0
"beta[3, 83]",-0.118,1.103,-1.938,1.849,0.016,0.014,5353.0,2393.0,1.0
"beta[3, 84]",-0.111,1.135,-1.968,1.653,0.018,0.014,4781.0,2141.0,1.0
"beta[3, 85]",4.599,4.327,0.413,11.904,0.072,0.051,3853.0,4893.0,1.0
"beta[3, 86]",2.119,2.2,-0.016,6.311,0.037,0.026,4039.0,2580.0,1.0
"beta[3, 87]",0.284,1.166,-1.443,2.45,0.021,0.017,4688.0,2331.0,1.0
"beta[3, 88]",-0.218,1.169,-2.351,1.463,0.018,0.017,5034.0,1751.0,1.0
"beta[3, 89]",-0.85,1.407,-3.445,0.832,0.023,0.018,4435.0,1733.0,1.0
"beta[3, 90]",-0.621,1.329,-2.97,1.143,0.021,0.017,4496.0,1577.0,1.0
"beta[3, 91]",-0.02,2.572,-4.759,4.32,0.026,0.024,12470.0,5717.0,1.0
"beta[3, 92]",-0.545,1.287,-2.915,1.237,0.021,0.018,4738.0,1381.0,1.0
"beta[3, 93]",-0.737,1.412,-3.409,1.146,0.021,0.017,4622.0,1372.0,1.0
"beta[3, 94]",-0.85,1.424,-3.852,0.795,0.024,0.017,4252.0,1794.0,1.0
"beta[3, 95]",-0.073,2.541,-4.445,4.621,0.027,0.029,12829.0,5213.0,1.0
"beta[3, 96]",-0.803,1.422,-3.568,1.076,0.023,0.016,3989.0,1040.0,1.0
"beta[3, 97]",-0.646,1.386,-3.205,1.28,0.026,0.022,4340.0,1057.0,1.0
"beta[3, 98]",-0.048,2.651,-4.819,4.921,0.026,0.026,12459.0,5097.0,1.0
"beta[3, 99]",-0.041,2.754,-4.958,4.724,0.029,0.027,11650.0,4946.0,1.0
"beta[3, 100]",-0.047,2.627,-4.738,4.689,0.026,0.026,13579.0,5535.0,1.0
"beta[3, 101]",-0.017,2.725,-4.847,5.075,0.028,0.03,12586.0,5200.0,1.0
"beta[3, 102]",0.039,2.57,-4.349,4.791,0.026,0.026,12419.0,5882.0,1.0
"beta[3, 103]",-0.897,1.514,-3.454,1.284,0.025,0.018,4440.0,1917.0,1.0
"beta[3, 104]",-0.74,1.41,-3.47,1.0,0.025,0.018,3524.0,1670.0,1.0
"beta[3, 105]",-0.051,2.664,-4.53,5.139,0.026,0.027,13135.0,5408.0,1.0
"beta[3, 106]",-0.626,1.374,-3.098,1.177,0.022,0.018,4891.0,1802.0,1.0
"beta[3, 107]",-0.014,2.721,-4.821,4.821,0.028,0.028,13897.0,5602.0,1.0
"beta[3, 108]",-0.45,1.304,-2.726,1.51,0.022,0.016,4072.0,1855.0,1.0
"beta[3, 109]",-0.872,1.492,-3.541,1.202,0.023,0.017,4577.0,1855.0,1.0
"beta[3, 110]",-0.01,2.897,-4.866,5.319,0.029,0.032,14144.0,5340.0,1.0
